gene_id,p22074-s001,p22074-s002,p22074-s003,p22074-s004,p22074-s005,p22074-s006,p22074-s007,p22074-s008,p22074-s009,p22074-s010,p22074-s011,p22074-s012
Ndufs6,2458,2449,3247,2823,404,2916,2768,2629,1539,2478,2358,1894
Mrpl36,835,833,794,651,74,692,721,704,592,778,779,639
Eprn,101,128,114,74,10,83,74,101,91,122,137,89
Lpcat1,17,3,6,10,0,4,9,8,7,11,8,5
Slc6a3,0,0,0,0,0,0,0,0,0,0,0,0
Clptm1l,4462,5742,5315,6002,887,5481,5534,5824,5297,6854,6987,4991
Tert,89,92,76,75,6,76,87,73,78,126,91,61
Slc6a18,0,0,0,0,0,0,0,0,0,0,0,0
Slc6a19,0,1,0,2,0,1,0,2,0,0,0,0
Slc6a19os,0,0,0,0,0,0,0,0,0,0,0,0
Slc12a7,2089,2582,2220,1858,282,1657,2602,2593,2210,3222,2946,2336
Nkd2,0,0,1,11,1,0,4,0,2,1,0,0
Gm8062,0,0,0,0,0,0,0,0,0,0,0,0
Trip13,75,115,66,84,12,78,120,127,100,129,134,121
Gm25197,0,0,0,0,0,0,0,0,0,0,0,0
Brd9,346,472,332,366,68,326,411,486,408,592,574,343
Gm41002,0,0,0,3,0,0,1,0,0,1,0,0
Zdhhc11,0,1,0,0,0,0,0,0,0,0,0,0
Gm10126,0,0,0,0,0,0,0,0,0,0,0,0
Gm15912,6,8,3,0,1,1,0,1,0,2,9,1
Tppp,62,74,66,49,3,20,39,32,33,71,61,35
Gm6263,10,11,43,46,0,19,13,5,7,15,11,9
Cep72,13,9,10,9,1,8,8,29,17,15,8,24
Slc9a3,0,0,0,0,0,0,0,0,0,0,0,0
Exoc3,1235,1402,1396,1183,222,1163,1423,1512,1260,1938,1886,1361
Ahrr,4,0,0,0,4,1,0,4,1,0,0,3
Pdcd6,2731,2917,2888,3300,475,3202,2937,3033,2388,3152,3227,2394
Sdha,13552,15863,15156,14821,2168,14040,16824,16058,14928,19061,19205,13892
Gm16125,0,4,0,2,1,0,0,4,3,2,1,0
Ccdc127,1386,1360,1420,1168,204,1205,1569,1845,1407,1964,1638,1459
Lrrc14b,0,0,0,0,0,0,0,0,0,0,0,0
Zfp72,99,119,98,72,11,85,151,131,84,165,171,154
Gm8227,0,0,0,0,0,0,0,0,0,0,1,0
Ftl1.ps1,374,458,456,1154,82,468,672,608,551,714,744,489
Gm47428,0,0,0,0,0,0,0,0,0,0,0,0
Mir692.3,0,0,0,0,0,0,0,0,0,0,0,0
E430024I08Rik,85,96,96,71,10,62,73,83,93,101,95,72
Gm47435,0,0,0,1,0,0,0,0,0,0,0,0
Gm49762,0,4,0,0,0,0,0,0,2,0,0,0
Zfp825,244,282,303,115,22,158,330,272,218,296,314,231
Gm49763,0,0,0,0,0,0,0,0,0,0,3,1
