EnsemblID,p22074-s001_Cont1_S141.unstranded_count,p22074-s002_Cont2_S142.unstranded_count,p22074-s003_Cont3_S143.unstranded_count,p22074-s004_FAC1_S144.unstranded_count,p22074-s005_FAC2_S145.unstranded_count,p22074-s006_FAC3_S146.unstranded_count,p22074-s007_LiproxposFAC1_S147.unstranded_count,p22074-s008_LiproxposFAC2_S148.unstranded_count,p22074-s009_LiproxposFAC3_S149.unstranded_count,p22074-s010_MTposFAC1_S150.unstranded_count,p22074-s011_MTposFAC2_S151.unstranded_count,p22074-s012_MTposFAC3_S152.unstranded_count
ENSMUSG00000025925,278,301,317,318,53,281,430,359,303,403,369,307
ENSMUSG00000104379,0,0,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000032719,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088943,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100652,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000067795,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000043716,6254,6306,5943,6818,967,6566,6060,6600,4852,6603,7147,4698
ENSMUSG00000025921,817,873,900,1297,192,1179,820,861,673,827,765,660
ENSMUSG00000104165,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100868,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025920,232,249,236,227,47,257,232,271,173,306,292,207
ENSMUSG00000089982,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025939,1047,994,1212,1189,166,1023,1109,1238,911,1148,1093,1050
ENSMUSG00000102457,0,2,0,0,0,2,0,0,0,0,1,0
ENSMUSG00000079658,1780,1606,2102,2109,254,2182,1747,1690,980,1513,1403,1196
ENSMUSG00000097744,3,5,4,1,2,5,2,3,0,0,5,2
ENSMUSG00000100959,2,0,0,1,0,1,0,3,3,2,1,0
ENSMUSG00000025940,1655,1667,1695,1436,220,1366,1464,1527,1203,1556,1621,1230
ENSMUSG00000025779,474,376,427,829,107,757,620,647,435,498,521,402
ENSMUSG00000100093,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000091020,3,5,3,8,0,6,5,1,5,7,1,3
ENSMUSG00000101640,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104133,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000042686,12,46,21,71,22,57,25,47,43,28,49,32
ENSMUSG00000100110,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025777,2,0,0,0,1,0,0,0,0,6,0,0
ENSMUSG00000099899,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100272,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100398,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000101589,1,0,1,5,0,1,0,1,1,2,1,2
ENSMUSG00000102048,0,0,0,1,0,0,0,1,0,0,2,0
ENSMUSG00000089534,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000067780,0,0,0,0,0,2,1,0,0,0,0,0
ENSMUSG00000100053,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000085125,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025776,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099895,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100554,2,1,3,1,0,0,3,0,0,1,0,1
ENSMUSG00000099473,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099591,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000109887,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102001,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101717,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025774,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000070977,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000073735,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000067773,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101685,0,0,1,0,0,0,0,0,1,2,0,0
ENSMUSG00000101306,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088800,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101644,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099433,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089787,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000042596,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100720,1,3,0,1,0,3,2,2,1,0,7,0
ENSMUSG00000025927,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100538,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101117,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100204,9,6,11,26,0,9,7,8,9,30,15,7
ENSMUSG00000084668,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102597,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000043760,164,295,222,197,30,223,274,286,286,409,394,289
ENSMUSG00000104095,0,5,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089914,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000090142,0,1,0,1,0,0,0,0,2,1,0,1
ENSMUSG00000070175,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099906,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000065559,0,0,0,0,0,0,0,0,0,0,0,0
